"","Tanah","Bangunan","Harga","ratio","cluster","HargaT","IntT","HargaBangunan","HargaB","IntB","Prediksi","Error","AbsE"
"14",87,36,595000000,0.413793103448276,3,2605495.16816132,176369145.756789,191952774.613176,2535185.50851072,44800917.4385907,539114821.131801,10.3660995167737,10.3660995167737
"15",150,85,850000000,0.566666666666667,3,2605495.16816132,176369145.756789,282806579.019013,2535185.50851072,44800917.4385907,827485106.642989,2.72088200455367,2.72088200455367
"16",86,50,505000000,0.581395348837209,3,2605495.16816132,176369145.756789,104558269.781337,2535185.50851072,44800917.4385907,572001923.08279,-11.713583535119,11.713583535119
"17",156,80,895000000,0.512820512820513,3,2605495.16816132,176369145.756789,312173608.010045,2535185.50851072,44800917.4385907,830442150.109403,7.7739129549351,7.7739129549351
"18",72,80,572000000,1.11111111111111,6,2605495.16816132,176369145.756789,208035202.135596,2535185.50851072,44800917.4385907,611580555.983853,-6.47184669240821,6.47184669240821
"19",150,90,950000000,0.6,4,2605495.16816132,176369145.756789,382806579.019013,2535185.50851072,44800917.4385907,840161034.185543,13.0735610609382,13.0735610609382
"20",120,160,990000000,1.33333333333333,6,2605495.16816132,176369145.756789,500971434.063852,2535185.50851072,44800917.4385907,939459164.736454,5.37977989471468,5.37977989471468
"21",110,90,850000000,0.818181818181818,5,2605495.16816132,176369145.756789,387026385.745466,2535185.50851072,44800917.4385907,735941227.45909,15.4983534398133,15.4983534398133
"22",100,50,500000000,0.5,3,2605495.16816132,176369145.756789,63081337.4270788,2535185.50851072,44800917.4385907,608478855.437048,-17.8278759348394,17.8278759348394
"23",108,90,900000000,0.833333333333333,5,2605495.16816132,176369145.756789,442237376.081788,2535185.50851072,44800917.4385907,730730237.122767,23.1644667591324,23.1644667591324
"24",162,60,900000000,0.37037037037037,2,2605495.16816132,176369145.756789,301540637.001077,2535185.50851072,44800917.4385907,795371410.948157,13.1546831595463,13.1546831595463
"25",133,70,795000000,0.526315789473684,3,2605495.16816132,176369145.756789,272099996.877755,2535185.50851072,44800917.4385907,745163906.156586,6.68793716814052,6.68793716814052
"26",200,90,725000000,0.45,3,2605495.16816132,176369145.756789,27531820.610947,2535185.50851072,44800917.4385907,970435792.593609,-25.2912963914543,25.2912963914543
"27",80,50,700000000,0.625,4,2605495.16816132,176369145.756789,315191240.790305,2535185.50851072,44800917.4385907,556368952.073822,25.8157913720392,25.8157913720392
"28",90,45,550000000,0.5,3,2605495.16816132,176369145.756789,139136289.108692,2535185.50851072,44800917.4385907,569747976.212881,-3.46608975149787,3.46608975149787
"29",80,82,790000000,1.025,6,2605495.16816132,176369145.756789,405191240.790305,2535185.50851072,44800917.4385907,637494888.346165,23.9225622733188,23.9225622733188
"30",100,45,575000000,0.45,3,2605495.16816132,176369145.756789,138081337.427079,2535185.50851072,44800917.4385907,595802927.894494,-3.49157866142246,3.49157866142246
"31",100,45,500000000,0.45,3,2605495.16816132,176369145.756789,63081337.4270788,2535185.50851072,44800917.4385907,595802927.894494,-16.0796336186282,16.0796336186282
"32",87,50,560000000,0.574712643678161,3,2605495.16816132,176369145.756789,156952774.613176,2535185.50851072,44800917.4385907,574607418.250951,-2.54215622475157,2.54215622475157
"33",55,102,620000000,1.85454545454545,6,2605495.16816132,176369145.756789,300328619.994338,2535185.50851072,44800917.4385907,623061219.312346,-0.491319186214927,0.491319186214927
"34",91,50,550000000,0.549450549450549,3,2605495.16816132,176369145.756789,136530793.940531,2535185.50851072,44800917.4385907,585029398.923596,-5.98763053413166,5.98763053413166
"35",45,96,550000000,2.13333333333333,6,2605495.16816132,176369145.756789,256383571.675951,2535185.50851072,44800917.4385907,581795154.579669,-5.46500848784825,5.46500848784825
"36",93,45,575000000,0.483870967741935,3,2605495.16816132,176369145.756789,156319803.604208,2535185.50851072,44800917.4385907,577564461.717365,-0.444013073404797,0.444013073404797
"37",160,60,750000000,0.375,2,2605495.16816132,176369145.756789,156751627.3374,2535185.50851072,44800917.4385907,790160420.611834,-5.08256545939588,5.08256545939588
"38",96,90,750000000,0.9375,5,2605495.16816132,176369145.756789,323503318.099724,2535185.50851072,44800917.4385907,699464295.104832,7.22491558880705,7.22491558880705
