No,Harga,Desc,Lokasi,Tanah,Bangunan,Kamar,WC
1458,750000000,"Rumah Full Furnish siap huni di cijambe Indah Kodya Bandung, Ujungberung, Bandung","Bandung, Ujungberung",127,100,4,2
1459,"1,2 M","Kosan isi full  di cijambe Indah Kodya Bandung, Ujungberung, Bandung","Bandung, Ujungberung",148,180,10,10
1460,630000000,"Rumah Indent di cijambe Indah Kodya Bandung, Ujungberung, Bandung","Bandung, Ujungberung",119,50,2,1
1461,430000000,"Rumah Baru Ready siap huni di cijambe Indah Kodya Bandung, Ujungberung, Bandung","Bandung, Ujungberung",62,50,2,1
1462,"6,5 M","Rumah Potensial Siap Huni Cocok Buat Tempat Tinggal, Usaha dan Kantor di A.H Nasution Bandung, Ujungberung, Bandung","Bandung, Ujungberung",310,250,4,3
1463,700000000,"Rumah Komplek Cipaganti Graha TURUN Harga dari 800 juta JADI 700 Juta, Ciwastra, Bandung","Bandung, Ciwastra",130,60,2,2
1464,"1,2 M","rumah murah cocok untuk usaha di cibiru hilir bandung timur, Cibiru, Bandung","Bandung, Cibiru",214,240,5,4
1465,425000000,"rumah + warung buat usaha di ujungberung bandung, Ujungberung, Bandung","Bandung, Ujungberung",70,45,2,1
1466,"1,2 M","rumah baru di pasir pogor ciwastra bandung, Ciwastra, Bandung","Bandung, Ciwastra",124,120,4,2
1467,1 M,"rumah di kawaluyaan, komplek taman raflesia - sayap soekarno hatta bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",157,150,4,2
1468,"3,75 M","Villa  hitung tanah  dibawah  harga pasaran Bandung 3,75M, Cilengkrang, Bandung","Bandung, Cilengkrang",4223,350,6,5
1469,800000000,"Rumah Murah di Cisaranten Kulon - Arcamanik Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",90,180,3,2
1470,450000000,"rumah baru di suka asih modern minimalis bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",35,82,2,1
1471,975000000,"Rumah di Komplek Bahagia Permai Buahbatu Bandung Timur, Buah Batu, Bandung","Bandung, Buah Batu",115,130,4,2
1472,975000000,"Rumah di Cilengkrang II, lokasi strategis, nyaman dan aman di Bandung Timur, Cilengkrang, Bandung","Bandung, Cilengkrang",150,220,4,3
1473,"7,8 M","Rumah Kost di Bandung Timur, di Jatinangor, Sumedang, Jatinangor, Sumedang","Sumedang, Jatinangor",909,1300,,
1474,850000000,"RUMAH BARU DESIGN MODERN DI GREEN PUTI RESIDENCE CIMUNCANG BANDUNG TIMUR, Cimenyan, Bandung","Bandung, Cimenyan",72,66,2,2
1475,"1,9 M","Ruko Prospektif siap pakai di BTP (ujungt berung) jl. A.H Nasution kota Bandung, Jatinangor, Bandung","Bandung, Jatinangor",68,140,2,
1476,338000000,"rumah di perumahan &#34;zam zam residence&#34; berkonsep modern minimalis, Rancaekek, Bandung","Bandung, Rancaekek",72,36,2,1
1477,338000000,"Rumah di Perumahan Baru Ekslusif di Bandung Timur, Dangdeur Rancaekek  , Rancaekek, Bandung","Bandung, Rancaekek",72,36,,
1478,500000000,"Rumah di Perumahan Griya Cempaka Arum Gedebage Bandung, Gede Bage, Bandung","Bandung, Gede Bage",84,60,2,2
1479,1 M,"Rumah Nyaman Bungursari Padasuka, Padasuka, Bandung","Bandung, Padasuka",198,225,8,2
1480,600000000,"Rumah di Komplek Green Valley Residence Bandung Timur, Cibeunying, Bandung","Bandung, Cibeunying",84,70,2,1
1481,1 M,"rumah siap huni di bandung timur, margahayu raya bandung, Margahayu, Bandung","Bandung, Margahayu",87,158,4,3
1482,520000000,"Rumah di Kinagara Regency Ciganitri Bojongsoang Buahbatu Bandung Timur, Buah Batu, Bandung","Bandung, Buah Batu",90,75,2,2
1483,685000000,"rumah siap huni di bandung timur tepatnya di pinus regency, Pinus, Bandung","Bandung, Pinus",96,60,2,1
1484,360000000,"rumah masuk gang bebas banjir di sekemala ujungberung, Ujungberung, Bandung","Bandung, Ujungberung",218,200,3,3
1485,650000000,"Rumah di Graha Ciganitri, Buah Batu, Bandung Timur, Buah Batu, Bandung","Bandung, Buah Batu",115,100,3,2
1486,700000000,"Rumah Bandung Timur, Cileunyi, Bandung","Bandung, Cileunyi",429,200,3,2
1487,550000000,"Rumah Baru di Arcamanik Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",104,45,2,1
1488,450000000,"Rumah di Komplek Bumi Harapan Cibiru Bandung Timur, Cibiru, Bandung","Bandung, Cibiru",90,60,2,1
1489,625000000,"Rumah Villa Cibiru Wetan Bandung Timur, Cibiru, Bandung","Bandung, Cibiru",429,200,3,2
1490,975000000,"Rumah Perum Sinergi Antapani Bandung Timur, Antapani, Bandung","Bandung, Antapani",105,150,3,3
1491,730000000,"Rumah Girimande Cluster, Mandalajati, Bandung","Bandung, Mandalajati",160,70,3,2
1492,550000000,"Rumah paling unik dan murah lt:273 di cicaheum, Cicaheum, Bandung","Bandung, Cicaheum",273,45,2,1
1493,600000000,"Jarang Ada    Rumah nyaman dan tenang Arcamanik Cisaranten  600 jt all in, Arcamanik, Bandung","Bandung, Arcamanik",100,60,2,1
1494,"1,65 M","Arcamanik Menarik Rumah nyaman sangat terawat ruangan lega!, Arcamanik, Bandung","Bandung, Arcamanik",216,180,4,3
1495,663000000,"Ready Stock di Padasuka, dkt Gedung sate, Gasibu, Terminal Cicaheum, Cicaheum, Bandung","Bandung, Cicaheum",93,45,2,1
1496,575000000,"Ready Stock dan Cluster ciganitri transmart dan yogya bojong soang, Bandung Kota, Bandung","Bandung, Bandung Kota",103,70,2,1
1497,"2,5 M","Pasti Untung beli Rumah klasik dikawasan exclusive kawasan bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",351,250,6,3
1498,1 M,"HANYA 1 UNIT..!! Rumah Baru,Bangunan &amp; Harga OK Di Cisaranten Arcamanik, Arcamanik, Bandung","Bandung, Arcamanik",120,180,4,2
1499,600000000,"KOST2AN AKTIF AREA BANDUNG TIMUR, Supratman, Bandung","Bandung, Supratman",69,180,9,4
1500,"1,8 M","nuansa villa, cocok untuk niis area a.h nasution, view kota bandung, Ujungberung, Bandung","Bandung, Ujungberung",480,250,4,3
1501,"1,8 M","arcamanik endah area bandung timur, siap huni, muraahhh, Arcamanik, Bandung","Bandung, Arcamanik",150,180,4,3
1502,"1,25 M","arcamanik, lingkungan bagus, dekat jalan utama, Arcamanik, Bandung","Bandung, Arcamanik",124,200,3,2
1503,"2,65 M","antapani bandung timur strategis dekat mall best location, Antapani, Bandung","Bandung, Antapani",164,194,4,3
1504,"1,3 M","rumah baru arcamanik, bandung timur, minimalis modern, Arcamanik, Bandung","Bandung, Arcamanik",91,110,3,2
1505,"2,75 M","100% rumah baru arcamanik, mewah pisan, nego cantik, minimalis modern, Arcamanik, Bandung","Bandung, Arcamanik",275,425,4,3
1506,"1,75 M","antapani bandung timur, siap huni, nuansa komplek, bisa KPR, Antapani, Bandung","Bandung, Antapani",185,160,4,5
1507,765000000,"komplek cijambe indah, new minimalis, bisa KPR, bandung timur, bebas banjir, Ujungberung, Bandung","Bandung, Ujungberung",85,90,3,2
1508,2 M,"antapani bandung bangunan baru siap huni, bandung timur, Antapani, Bandung","Bandung, Antapani",151,240,3,2
1509,625000000,"cluster exclusive area bandung timur, siap huni, murah, dekat jalur angkot, Arcamanik, Bandung","Bandung, Arcamanik",87,45,2,1
1510,"7,731,000,000","sayap soekarno hatta, rumah baru, cluster, culdesac, bisa KPR, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",96,45,2,1
1511,975000000,"komplek one gate dekat arcamanik, harga miring, jarang ada !, Arcamanik, Bandung","Bandung, Arcamanik",125,250,6,3
1512,550000000,"Rumah siap huni, murah pisan, asri, dekat borma ciwastra, Ciwastra, Bandung","Bandung, Ciwastra",102,108,3,2
1513,850000000,"Rumah Murah di Cijambe Bandung Timur, Ujungberung, Bandung","Bandung, Ujungberung",200,250,7,3
1514,"1,1 M","rumah baru cantik dan nyaman, Arcamanik, Bandung","Bandung, Arcamanik",110,85,3,2
1515,"1,5 M","Rumah Cantik &amp; Asri Siap Huni di Arcamanik, Bandung Timur , 4 KT, Arcamanik, Bandung","Bandung, Arcamanik",135,180,4,2
1516,780000000,"Rumah Cantik Minimalis di Arcamanik, Bandung Timur - Siap Huni, 3 KT, Arcamanik, Bandung","Bandung, Arcamanik",118,94,3,2
1517,"1,54 M","Rumah DP 0% atau CASHBACK 150 JUTA di Bandung,  Unit Terbatas !, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",171,69,3,2
1518,1 M,"Grand Panoramic residence pasir impun, Arcamanik, Bandung","Bandung, Arcamanik",75,105,3,3
1519,850000000,"Komplek Pinus Regency, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",126,90,4,3
1520,380000000,"Rumah Murah Minimalis Nuansa Villa dekat Tol Cileunyi, Cileunyi, Bandung","Bandung, Cileunyi",72,40,2,1
1521,590000000,"Rumah baru, minimalis dan cantik di cijambe bandung | 67, Ujungberung, Bandung","Bandung, Ujungberung",70,58,2,1
1522,441000000,"Rumah baru kualitas ok di pasirwangi ujungberung bandung | 55, Ujungberung, Bandung","Bandung, Ujungberung",96,30,1,1
1523,553000000,"Rumah murah view indah di pasirwangi ujungberung bandung | 56, Ujungberung, Bandung","Bandung, Ujungberung",128,30,1,1
1524,600000000,"Rumah baru dan cantik di cijambe bandung | 66, Ujungberung, Bandung","Bandung, Ujungberung",70,60,2,1
1525,440000000,"Rumah modern minimalis murah di pasanggrahan bandung | 65, Ujungberung, Bandung","Bandung, Ujungberung",92,45,2,1
1526,"4,305,000,000","Rumah murah view indah kualitas mewah di pasirwangi  bandung | 62, Ujungberung, Bandung","Bandung, Ujungberung",93,30,1,1
1527,"5,775,000,000","Rumah  konsep villa di ujungberung bandung | 54, Ujungberung, Bandung","Bandung, Ujungberung",135,30,1,1
1528,400000000,"Rumah Villa baru di pasirwangi ujungberung bandung | 50, Ujungberung, Bandung","Bandung, Ujungberung",84,30,1,1
1529,"3,955,000,000","Rumah konsep villa di pasirwangi  bandung | 58, Ujungberung, Bandung","Bandung, Ujungberung",83,30,1,1
1530,"3,675,000,000","Rumah baru konsep villa di pasirwangi ujungberung bandung | 60, Ujungberung, Bandung","Bandung, Ujungberung",75,30,1,1
1531,336000000,"Rumah indah di pasirwangi ujungberung bandung | 59, Ujungberung, Bandung","Bandung, Ujungberung",66,30,1,1
1532,521000000,"Rumah baru konsep villa di pasirwangi ujungberung bandung | 48, Ujungberung, Bandung","Bandung, Ujungberung",119,30,1,1
1533,"3,325,000,000","Rumah  villa harga murah gila di pasirwangi  bandung | 57, Ujungberung, Bandung","Bandung, Ujungberung",65,30,1,1
1534,357000000,"Rumah baru harga Ok  di pasirwangi ujungberung bandung | 49, Ujungberung, Bandung","Bandung, Ujungberung",72,30,1,1
1535,825000000,"Rumah cantik di komplek Bandung Indah Raya Bandung | 46, Rancasari, Bandung","Bandung, Rancasari",75,130,3,2
1536,385000000,"Rumah baru view kereen di pasirwangi ujungberung bandung | 53, Ujungberung, Bandung","Bandung, Ujungberung",80,30,1,1
1537,825000000,"Rumah cantik di Bandung Indah Raya, Bandung | 39, Rancasari, Bandung","Bandung, Rancasari",75,130,3,2
1538,425000000,"Rumah Murah siap huni  di Komplek Girimande Cicaheum Bandung Timur | 41, Cicaheum, Bandung","Bandung, Cicaheum",84,50,2,2
1539,700000000,"Rumah 2 Lantai berkualitas di Arcamanik Bandung | 37, Arcamanik, Bandung","Bandung, Arcamanik",80,82,3,2
1540,550000000,"Rumah  Kualitas Ok di Cisaranten Kulon,  Bandung. | 36, Arcamanik, Bandung","Bandung, Arcamanik",90,45,2,1
1541,"1,5 M","Murah Banget Rumah di Cijawura Ciwastra, Kota Bandung. | 35, Ciwastra, Bandung","Bandung, Ciwastra",376,150,4,2
1542,975000000,"Rumah cantik harga menarik di komplek cilengkrang 2 bandung | 30, Cilengkrang, Bandung","Bandung, Cilengkrang",150,220,4,3
1543,800000000,"Rumah Villa murah pisan di bandung timur | 17, Cileunyi, Bandung","Bandung, Cileunyi",204,190,3,4
1544,"1,44 M","Rumah Baru dan Nyaman Di bandung timur, East Garden Residence | 28, Cileunyi, Bandung","Bandung, Cileunyi",90,81,3,2
1545,980000000,"Rumah Baru dan Nyaman Di bandung timur, East Garden Residence | 27, Cileunyi, Bandung","Bandung, Cileunyi",84,59,3,2
1546,500000000,"Rumah Baru dan Nyaman Di bandung timur, East Garden Residence | 26, Cileunyi, Bandung","Bandung, Cileunyi",84,31,1,1
1547,460000000,"Rumah 2 Lantai Harga santai di Komplek pasirjati bandung | 15, Ujungberung, Bandung","Bandung, Ujungberung",62,120,4,2
1548,"1,2 M","RUMAH CANTIK NAN ASRI DI GRAND PANORAMIC BANDUNG, Cimenyan, Bandung","Bandung, Cimenyan",105,75,3,3
1549,975000000,"RUMAH ASRI HARGA BERSERI DI BAHAGIA PERMAI BUAHBATU BANDUNG, Buah Batu, Bandung","Bandung, Buah Batu",115,130,4,2
1550,"2,7 M","RUMAH MEWAH BERGAYA ROMAWI HARGA CIAWI  DI UJUNG BERUNG BANDUNG, Ujungberung, Bandung","Bandung, Ujungberung",190,107,5,2
1551,745000000,"RUMAH BARU BERKUALITAS HARGA PANTAS DI ARCAMANIK BANDUNG, Arcamanik, Bandung","Bandung, Arcamanik",114,60,2,1
1552,"2,5 M","RUMAH NYAMAN HARGA AMAN DI KIARACONDONG BANDUNG, Kiaracondong, Bandung","Bandung, Kiaracondong",176,150,6,3
1553,550000000,"RUMAH MINIMALIS BISA KPR DP MINI DI CISARANTEN KULON BANDUNG, Arcamanik, Bandung","Bandung, Arcamanik",104,45,2,1
1554,795000000,"rumah baru siap huni di arcamanik bandung, Arcamanik, Bandung","Bandung, Arcamanik",133,70,2,1
1555,"1,45 M","rumah cluster bernuansa villa, Cicaheum, Bandung","Bandung, Cicaheum",140,75,2,3
1556,"1,1 M","Rumah Kost Aktif di Babakansari Kiaracondong Bandung Timur, Kiaracondong, Bandung","Bandung, Kiaracondong",112,138,10,5
1557,"3,5 M","(WNT-04), rumah unik di pacuan kuda Arcamanik Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",180,360,6,4
1558,"1,5 M","rumah baru 1,5 lantai siap huni di Arcamanik Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",150,104,2,1
1559,388000000,"Rumah minimalis siap huni di Cipadung, Bandung Kota, Bandung","Bandung, Bandung Kota",62,36,2,1
1560,12 M,"Resto Berjalan Lembang Bangunan Mewah, Lembang, Bandung","Bandung, Lembang",1500,1100,,
1561,"2,5 M","Rumah terawat Jl. Sinom Turangga, Turangga, Bandung","Bandung, Turangga",170,300,4,3
1562,22 M,"Rumah Mewah Citra Green Dago, Dago, Bandung","Bandung, Dago",2173,1300,5,6
1563,19 M,"Cipunegara sayap Riau, Exlusive..The Best Location, Riau, Bandung","Bandung, Riau",558,100,1,1
1564,5 M,"Rumah Batik kumeli Sukaluyu, Surapati, Bandung","Bandung, Surapati",320,280,7,4
1565,"4,75 M","Rumah lama sukaluyu, Surapati, Bandung","Bandung, Surapati",320,250,4,2
1566,"3,5 M","Rumah Bagus Dekat Tol Pasteur, Pasteur, Bandung","Bandung, Pasteur",252,305,5,3
1567,"2,3 M","Rumah Minimalis Buah Batu Regency, Buah Batu, Bandung","Bandung, Buah Batu",168,190,5,4
1568,"4,95 M","Kos Kostan Cikutra Baru Income Menarik, Cikutra, Bandung","Bandung, Cikutra",430,600,35,35
1569,35 M,"Rumah Lama Supratman..!!, Riau, Bandung","Bandung, Riau",932,450,5,4
1570,18 M,"Rumah Baru Setraduta Mewah Minimalis..!!, Setra Duta, Bandung","Bandung, Setra Duta",600,950,5,4
1571,"3,5 M","Rumah Lux Pondok Hijau Kavling Exlusive...!!, Pondok Hijau, Bandung","Bandung, Pondok Hijau",312,300,4,2
1572,"2,3 M","Rumah Lux Sayap Tuparev, Tuparev, Cirebon","Cirebon, Tuparev",250,400,4,5
1573,"2,5 M","Rumah dekat PizzaHut Buah Batu, Buah Batu, Bandung","Bandung, Buah Batu",266,150,4,2
1574,"2,75 M","Rumah Baru Modern Minimalis Cigadung Kota Bandung Rp. 2.750.000.000, Cigadung, Bandung","Bandung, Cigadung",170,230,4,4
1575,670000000,"Rumah Di Antapani Rp. 670.000.000, Antapani, Bandung","Bandung, Antapani",89,65,2,1
1576,17 M,"Rumah Lux Full Davinci, lokasi berada di dago, lingkungan elit, Dago, Bandung","Bandung, Dago",605,900,6,6
1577,"4,35 M","Rumah Lux Batu Nunggal Full Furnished Cellini, Batununggal, Bandung","Bandung, Batununggal",300,400,4,3
1578,"23,5 M","Rumah Mewah di Citra Green Dago Bandung Jawa Barat, Dago, Bandung","Bandung, Dago",2173,1300,5,5
1579,"2,5 M","Rumah Di Situ Aksan Rp. 2.500.000.000, Sudirman, Bandung","Bandung, Sudirman",200,300,4,2
1580,"1,7 M","Rumah Di Arcamanik Rp. 1.700.000.000, Arcamanik, Bandung","Bandung, Arcamanik",138,250,3,3
1581,670000000,"Rumah Di Antapani Rp. 670.000.000, Antapani, Bandung","Bandung, Antapani",89,65,2,1
1582,17 M,"Rumah Lux Full Davinci, lokasi berada di dago, lingkungan elit, Dago, Bandung","Bandung, Dago",605,900,6,6
1583,"4,35 M","Rumah Lux Batu Nunggal Full Furnished Cellini, Batununggal, Bandung","Bandung, Batununggal",300,400,4,3
1584,"23,5 M","Rumah Mewah di Citra Green Dago Bandung Jawa Barat, Dago, Bandung","Bandung, Dago",2173,1300,5,5
1585,"2,5 M","Rumah Di Situ Aksan Rp. 2.500.000.000, Sudirman, Bandung","Bandung, Sudirman",200,300,4,2
1586,"1,7 M","Rumah Di Arcamanik Rp. 1.700.000.000, Arcamanik, Bandung","Bandung, Arcamanik",138,250,3,3
1587,"3,5 M","RUMAH CANTIK SAYAP JL. RIAU BANDUNG, Riau, Bandung","Bandung, Riau",130,150,3,2
1588,12 M,"Rumah Mewah Daerah Cipaganti, Cipaganti, Bandung","Bandung, Cipaganti",505,600,4,3
1589,"3,95 M","Rumah Baru Singasana Pradana Rp. 3.950.000.000, Mekar Wangi, Bandung","Bandung, Mekar Wangi",200,370,4,3
1590,28 M,"Rumah Kost / Guest House Ciumbuleuit Dekat Unpar Rp. 28.000.000.000, Ciumbuleuit, Bandung","Bandung, Ciumbuleuit",1430,1200,30,30
1591,3 M,"Rumah Taman Sari Bukit Bandung Arcamanik Rp. 3.000.000.000, Arcamanik, Bandung","Bandung, Arcamanik",404,365,4,3
1592,10 M,"Rumah Murah Sayap Cipaganti Rp. 10.000.000.000, Cipaganti, Bandung","Bandung, Cipaganti",696,400,4,3
1593,"6,2 M","Rumah Ada Kolam Renang Lembah Indah Geger Kalong, Geger Kalong, Bandung","Bandung, Geger Kalong",450,330,5,3
1594,12 M,"Rumah Bagus View Bukit Komplek Dago Resort Kota Bandung Rp. 12.000.000.000, Dago, Bandung","Bandung, Dago",526,600,5,4
1595,"1,1 M","Kostan Di Jatinangor Rp. 1.100.000.000, Jatinangor, Bandung","Bandung, Jatinangor",393,350,19,12
1596,"1,4 M","Rumah Di Antapani Rp. 1.400.000.000, Antapani, Bandung","Bandung, Antapani",114,250,6,3
1597,"3,9 M","Rumah Di Pondok Hijau Rp. 3.900.000.000, Pondok Hijau, Bandung","Bandung, Pondok Hijau",312,265,5,5
1598,30 M,"Rumah Mewah Di Lokasi Elite Rp. 30.000.000.000, Setiabudi, Bandung","Bandung, Setiabudi",1400,1000,5,5
1599,17 M,"Rumah Lux Full Davinci, lokasi berada di dago, lingkungan elit, Dago, Bandung","Bandung, Dago",605,900,6,6
1600,18 M,"Rumah Di Setra Duta Rp. 18.000.000.000, Setra Duta, Bandung","Bandung, Setra Duta",600,900,5,5
1601,"1,4 M","Rumah Di Setra Dago Rp. 1.400.000.000, Antapani, Bandung","Bandung, Antapani",108,160,3,2
1602,"13,5 M","Rumah + Swimming Pool + View Dago Resort Bandung Rp. 13.500.000.000, Dago, Bandung","Bandung, Dago",536,650,4,4
1603,"1,95 M","Rumah Di Bandung Utara Rp. 1.950.000.000, Setra Murni, Bandung","Bandung, Setra Murni",105,140,4,2
1604,"3,2 M","Rumah Baru Dekat Tol Pasteur, Pasteur, Bandung","Bandung, Pasteur",252,305,5,3
1605,"13,5 M","Rumah Di dago cocok untuk tinggal atau dibikin kost2 an, Dago, Bandung","Bandung, Dago",577,560,9,6
1606,"9,35 M","Cilaki Rumah + Guest House Bangunan Belanda Harga Wajar Rp. 13.500.000.000, Riau, Bandung","Bandung, Riau",430,600,16,16
1607,"3,1 M","Kostan Di Jalan Pahlawan Jarang Ada !! Rp. 3.100.000.000, Surapati, Bandung","Bandung, Surapati",200,280,10,9
1608,"12,5 M","Rumah plus usaha di sayap jl.Riau Bandung jawabarat, Riau, Bandung","Bandung, Riau",406,700,5,5
1609,900000000,"Rumah Di Sariwangi Rp. 900.000.000, Sariwangi, Bandung","Bandung, Sariwangi",103,84,3,2
1610,"1,5 M","Rumah Tinggal Cocok Buat Kantor Rp. 1.500.000.000, Turangga, Bandung","Bandung, Turangga",154,250,4,3
1611,10 M,"Rumah Mewah Setra Duta Rp. 10.000.000.000, Setra Duta, Bandung","Bandung, Setra Duta",402,600,2,2
1612,5 M,"Rumah nyaman dan sejuk  di Dago, Dago, Bandung","Bandung, Dago",328,423,4,4
1613,"1,7 M","rumah design minimalis di cluster daerah antapani bandung timur, Antapani, Bandung","Bandung, Antapani",102,82,3,3
1614,"1,2 M","Rumah cantik di pinus regency soekarno hatta bandung timur, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",91,140,4,2
1615,"4,75 M","Rumah Bagus Cigadung - Rancakendal Kota Bandung Rp. 4.750.000.000, Cigadung, Bandung","Bandung, Cigadung",334,525,6,4
1616,"1,15 M","Rumah Di Pinus Regency Soekarno Hatta, Bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",168,170,3,1
1617,"13,5 M","Rumah Zaman Belanda Dekat Gedung Sate Kota Bandung Rp. 13.500.000.000, Supratman, Bandung","Bandung, Supratman",558,180,5,2
1618,5 M,"Cepat Rumah lux di Tubagus Ismail, Tubagus Ismail, Bandung","Bandung, Tubagus Ismail",725,500,6,5
1619,"52,382,000,000","Rumah dp 30 jt all in Tanah Luas View Kota di Ujung Berung Cilengkrang, Ujungberung, Bandung","Bandung, Ujungberung",111,36,2,1
1620,549000000,"Ruman cantik dan menarik sekitar Antapani Bandung Timur, Antapani, Bandung","Bandung, Antapani",60,80,3,2
1621,"1,2 M","Rumah Baru 2 Lantai di Margahayu Raya Metro dekat Griya, Bandung Kota, Bandung","Bandung, Bandung Kota",135,110,4,3
1622,"1,65 M","Rumah cantik minimalis view kota bandung di pasir impun bandung timur, Cicaheum, Bandung","Bandung, Cicaheum",153,130,2,2
1623,"2,4 M","Rumah murah strategis minimalis di Antapani Bandung Timur, Antapani, Bandung","Bandung, Antapani",240,200,3,3
1624,800000000,"Rumah murah baru siap huni di Cisaranten kulon Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",134,70,2,1
1625,800000000,"Rumah cantik baru siap huni di cisaranten kulon Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",134,70,2,1
1626,750000000,"Rumah murah strategis di cisaranten bandung timur, Arcamanik, Bandung","Bandung, Arcamanik",120,70,2,1
1627,"1,75 M","Rumah cantik strategis di cisaranten kulon bandung timur, Arcamanik, Bandung","Bandung, Arcamanik",176,207,3,2
1628,"1,8 M","Rumah cantik murah minimalis Bandung Citydi Pasir Impun Bandung Timur, Ujungberung, Bandung","Bandung, Ujungberung",183,200,3,2
1629,"2,8 M","Rumah baru siap huni du Arcamanik Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",240,270,4,3
1630,"1,5 M","Rumah murah strategis siap huni di Arcamanik Bandung Timur, Arcamanik, Bandung","Bandung, Arcamanik",150,104,2,1
1631,550000000,"Rumah cantik minimalis bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",84,56,2,1
1632,550000000,"Rumah kodya Bandung,strategis Bandung Timur, Antapani, Bandung","Bandung, Antapani",60,100,3,2
1633,647000000,"Rumah baru 1,5 lantai suasana pegunungan, Ujungberung, Bandung","Bandung, Ujungberung",94,47,3,2
1634,440000000,"Rumah Cantik minimalis satu lantai Bandung timur, Ujungberung, Bandung","Bandung, Ujungberung",72,36,2,1
1635,440000000,"Rumah Minimalis kodya Bandung,ujung Berung Bandung Timur, Ujungberung, Bandung","Bandung, Ujungberung",72,36,2,1
1636,650000000,"Rumah ujung berung cinambo indah, Ujungberung, Bandung","Bandung, Ujungberung",100,70,4,3
1637,830000000,"Rumah 2 lantai siap huni belakang griya arcamanik, Arcamanik, Bandung","Bandung, Arcamanik",120,136,3,2
1638,"1,46 M","Rumah Indent 2 lantai Strategis di Pusat Bandung Timur Padasuka dekat Antapani Arcamanik Bandung, Antapani, Bandung","Bandung, Antapani",86,100,3,2
1639,550000000,"rumah baru siap huni lokasi strategis di komplek riung bandung, Bandung Wetan, Bandung","Bandung, Bandung Wetan",82,50,2,1
1640,465000000,"rumah di raya  ramai cocok untuk usaha di komplek riung bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",60,80,2,2
1641,435000000,"rumah baru siap huni dekat akses angkutan umum di riung bandung, Sindangkerta, Bandung","Bandung, Sindangkerta",72,45,2,1
1642,410000000,"murah rumah di kawasan kampus ternama ITB,UNPAD, IPDN dan IKOPON Jatinangor, Jatinangor, Bandung","Bandung, Jatinangor",90,50,2,1
1643,750000000,"rumah baru  siap huni bahan bangunan berkwalitas di riung bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",140,120,4,2
1644,385000000,"rumah siap huni harga termurah seRiung bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",60,50,2,1
1645,550000000,"rumah kontrakan lokasi strategis di komplek bumi Panyileukan, Cibiru, Bandung","Bandung, Cibiru",105,96,4,4
1646,"1,35 M","rumah terdepan lokasi strategis di margahayu samping RS Al ialam soekarno hatta, Margahayu, Bandung","Bandung, Margahayu",121,140,4,3
1647,350000000,"jarang ada rumah murah masuk  kodya bandung timur, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",66,50,2,1
1648,650000000,"rumah kokoh kwalitas bagus cara bayar nego di bandung timur, Cibiru, Bandung","Bandung, Cibiru",114,100,3,2
1649,"1,3 M","Rumah minimalis 2lantai siap huni lingkungan aman dan nyaman di Produta, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",187,180,4,4
1650,"1,5 M","rumah luas lokasi strategis dekat jalan raya AH Nasution, Ujungberung, Bandung","Bandung, Ujungberung",216,350,9,3
1651,350000000,"rumah murah lokasi  sedang berkembang pesat di bandung timur, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",66,50,2,1
1652,350000000,"rumah murah dekat exit toll cileunyi bandung timur, Bandung Wetan, Bandung","Bandung, Bandung Wetan",93,130,4,2
1653,"1,15 M","rumah bagus ada gazebo dekat jalan raya baypass di bandung timur, Bandung Wetan, Bandung","Bandung, Bandung Wetan",370,300,4,3
1654,"1,1 M","rumah 2lantai siap huni lokasi bagus margahayuraya barat, Buah Batu, Bandung","Bandung, Buah Batu",144,120,3,2
1655,"1,2 M","rumah luas lebar muka oke lokasi strategis -komplek cipamokolan, Rancasari, Bandung","Bandung, Rancasari",144,120,5,2
1656,640000000,"rumah 1,5lantai bagus siap huni lokasi alus di kawaluyaan bandung, Soekarno Hatta, Bandung","Bandung, Soekarno Hatta",90,100,3,2
1657,775000000,"Rumah minimalis  Siap Huni Full Furnish Di Arcamanik, Arcamanik, Bandung","Bandung, Arcamanik",130,100,2,3
